name,prompt,negative_prompt,
">>>>>> SDXL COMFYUI PORT","","",
"Style: sai-3d-model","professional 3d model {value}, octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting",
"Style: sai-analog film","analog film photo {value}, faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",
"Style: sai-anime","anime artwork {value}, anime style, key visual, vibrant, studio anime,  highly detailed","photo, deformed, black and white, realism, disfigured, low contrast",
"Style: sai-cinematic","cinematic film still {value}, shallow depth of field, vignette, highly detailed, high budget Hollywood film, bokeh, cinemascope, moody, epic, gorgeous, film grain","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch",
"Style: sai-comic book","comic {value}, graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo",
"Style: sai-craft clay","play-doh style {value}, sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo",
"Style: sai-digital art","concept art {value}, digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly",
"Style: sai-enhance","breathtaking {value}, award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy",
"Style: sai-fantasy art","ethereal fantasy concept art of  {value}, magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white",
"Style: sai-isometric","isometric style {value}, vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic",
"Style: sai-line art","line art drawing {value}, professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic",
"Style: sai-lowpoly","low-poly style {value}, low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",
"Style: sai-neonpunk","neonpunk style {value}, cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured",
"Style: sai-origami","origami style {value}, paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo",
"Style: sai-photographic","cinematic photo {value}, 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly",
"Style: sai-pixel art","pixel-art {value}, low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic",
"Style: sai-texture","texture {value} top down close-up","ugly, deformed, noisy, blurry",
">>>>>> ADS","","",
"Style: ads-advertising","Advertising poster style {value}, Professional, modern, product-focused, commercial, eye-catching, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",
"Style: ads-automotive","Automotive advertisement style {value}, Sleek, dynamic, professional, commercial, vehicle-focused, high-resolution, highly detailed","noisy, blurry, unattractive, sloppy, unprofessional",
"Style: ads-corporate","Corporate branding style {value}, Professional, clean, modern, sleek, minimalist, business-oriented, highly detailed","noisy, blurry, grungy, sloppy, cluttered, disorganized",
"Style: ads-fashion editorial","Fashion editorial style {value}, High fashion, trendy, stylish, editorial, magazine style, professional, highly detailed","outdated, blurry, noisy, unattractive, sloppy",
"Style: ads-food photography","Food photography style {value}, Appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry",
"Style: ads-luxury","Luxury product style {value}, Elegant, sophisticated, high-end, luxurious, professional, highly detailed","cheap, noisy, blurry, unattractive, amateurish",
"Style: ads-real estate","Real estate photography style {value}, Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","dark, blurry, unappealing, noisy, unprofessional",
"Style: ads-retail","Retail packaging style {value}, Vibrant, enticing, commercial, product-focused, eye-catching, professional, highly detailed","noisy, blurry, amateurish, sloppy, unattractive",
">>>>>> ARTSTYLE","","",
"Style: artstyle-abstract","abstract style {value}, non-representational, colors and shapes, expression of feelings, imaginative, highly detailed","realistic, photographic, figurative, concrete",
"Style: artstyle-abstract expressionism","abstract expressionist painting {value}, energetic brushwork, bold colors, abstract forms, expressive, emotional","realistic, photorealistic, low contrast, plain, simple, monochrome",
"Style: artstyle-art deco","Art Deco style {value}, geometric shapes, bold colors, luxurious, elegant, decorative, symmetrical, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, modernist, minimalist",
"Style: artstyle-art nouveau","Art Nouveau style {value}, elegant, decorative, curvilinear forms, nature-inspired, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, modernist, minimalist",
"Style: artstyle-constructivist","constructivist style {value}, geometric shapes, bold colors, dynamic composition, propaganda art style","realistic, photorealistic, low contrast, plain, simple, abstract expressionism",
"Style: artstyle-cubist","cubist artwork {value}, geometric shapes, abstract, innovative, revolutionary","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",
"Style: artstyle-expressionist","expressionist {value}, raw, emotional, dynamic, distortion for emotional effect, vibrant, use of unusual colors, detailed","realism, symmetry, quiet, calm, photo",
"Style: artstyle-graffiti","graffiti style {value}, street art, vibrant, urban, detailed, tag, mural","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",
"Style: artstyle-hyperrealism","hyperrealistic art {value}, extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike","simplified, abstract, unrealistic, impressionistic, low resolution",
"Style: artstyle-impressionist","impressionist painting {value}, loose brushwork, vibrant color, light and shadow play, captures feeling over form","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",
"Style: artstyle-pixar","pixar style render, caricature, {value},  looking at viewer, flat colors, 4k, professional, award-winning, highly detailed, volumetric, dramatic lighting","low poly, painting, realistic, photo, line drawing",
"Style: artstyle-pointillism","pointillism style {value}, composed entirely of small, distinct dots of color, vibrant, highly detailed","line drawing, smooth shading, large color fields, simplistic",
"Style: artstyle-pop art","Pop Art style {value}, bright colors, bold outlines, popular culture themes, ironic or kitsch","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, minimalist",
"Style: artstyle-psychedelic","psychedelic style {value}, vibrant colors, swirling patterns, abstract forms, surreal, trippy","monochrome, black and white, low contrast, realistic, photorealistic, plain, simple",
"Style: artstyle-renaissance","Renaissance style {value}, realistic, perspective, light and shadow, religious or mythological themes, highly detailed","ugly, deformed, noisy, blurry, low contrast, modernist, minimalist, abstract",
"Style: artstyle-steampunk","steampunk style {value}, antique, mechanical, brass and copper tones, gears, intricate, detailed","deformed, glitch, noisy, low contrast, anime, photorealistic",
"Style: artstyle-surrealist","surrealist art {value}, dreamlike, mysterious, provocative, symbolic, intricate, detailed","anime, photorealistic, realistic, deformed, glitch, noisy, low contrast",
"Style: artstyle-typography","typographic art {value}, stylized, intricate, detailed, artistic, text-based","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",
"Style: artstyle-watercolor","watercolor painting {value}, vibrant, beautiful, painterly, detailed, textural, artistic","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",
">>>>>> FUTURISTIC","","",
"Style: futuristic-biomechanical","biomechanical style {value}, blend of organic and mechanical elements, futuristic, cybernetic, detailed, intricate","natural, rustic, primitive, organic, simplistic",
"Style: futuristic-biomechanical cyberpunk","biomechanical cyberpunk {value}, cybernetics, human-machine fusion, dystopian, organic meets artificial, dark, intricate, highly detailed","natural, colorful, deformed, sketch, low contrast, watercolor",
"Style: futuristic-cybernetic","cybernetic style {value}, futuristic, technological, cybernetic enhancements, robotics, artificial intelligence themes","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval",
"Style: futuristic-cybernetic robot","cybernetic robot {value}, android, AI, machine, metal, wires, tech, futuristic, highly detailed","organic, natural, human, sketch, watercolor, low contrast",
"Style: futuristic-cyberpunk cityscape","cyberpunk cityscape {value}, neon lights, dark alleys, skyscrapers, futuristic, vibrant colors, high contrast, highly detailed","natural, rural, deformed, low contrast, black and white, sketch, watercolor",
"Style: futuristic-futuristic","futuristic style {value}, sleek, modern, ultramodern, high tech, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vintage, antique",
"Style: futuristic-retro cyberpunk","retro cyberpunk {value}, 80's inspired, synthwave, neon, vibrant, detailed, retro futurism","modern, desaturated, black and white, realism, low contrast",
"Style: futuristic-retro futurism","retro-futuristic {value}, vintage sci-fi, 50s and 60s style, atomic age, vibrant, highly detailed","contemporary, realistic, rustic, primitive",
"Style: futuristic-sci-fi","sci-fi style {value}, futuristic, technological, alien worlds, space themes, advanced civilizations","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval",
"Style: futuristic-vaporwave","vaporwave style {value}, retro aesthetic, cyberpunk, vibrant, neon colors, vintage 80s and 90s style, highly detailed","monochrome, muted colors, realism, rustic, minimalist, dark",
">>>>>> GAME","","",
"Style: game-bubble bobble","Bubble Bobble style {value}, 8-bit, cute, pixelated, fantasy, vibrant, reminiscent of Bubble Bobble game","realistic, modern, photorealistic, violent, horror",
"Style: game-cyberpunk game","cyberpunk game style {value}, neon, dystopian, futuristic, digital, vibrant, detailed, high contrast, reminiscent of cyberpunk genre video games","historical, natural, rustic, low detailed",
"Style: game-fighting game","fighting game style {value}, dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games","peaceful, calm, minimalist, photorealistic",
"Style: game-fortnite","fortnite style, character artwork, {value}, dynamic, vibrant, detailed character, reminiscent of fortnite","minimalist, photorealistic",
"Style: game-gta","GTA-style artwork {value}, satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed","realistic, black and white, low contrast, impressionist, cubist, noisy, blurry, deformed",
"Style: game-mario","Super Mario style {value}, vibrant, cute, cartoony, fantasy, playful, reminiscent of Super Mario series","realistic, modern, horror, dystopian, violent",
"Style: game-minecraft","Minecraft style {value}, blocky, pixelated, vibrant colors, recognizable characters and objects, game assets","smooth, realistic, detailed, photorealistic, noise, blurry, deformed",
"Style: game-pokemon","Pokémon style {value}, vibrant, cute, anime, fantasy, reminiscent of Pokémon series","realistic, modern, horror, dystopian, violent",
"Style: game-retro arcade","retro arcade style {value}, 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games","modern, ultra-high resolution, photorealistic, 3D",
"Style: game-retro game","retro game art {value}, 16-bit, vibrant colors, pixelated, nostalgic, charming, fun","realistic, photorealistic, 35mm film, deformed, glitch, low contrast, noisy",
"Style: game-rpg fantasy game","role-playing game (RPG) style fantasy {value}, detailed, vibrant, immersive, reminiscent of high fantasy RPG games","sci-fi, modern, urban, futuristic, low detailed",
"Style: game-strategy game","strategy game style {value}, overhead view, detailed map, units, reminiscent of real-time strategy video games","first-person view, modern, photorealistic",
"Style: game-streetfighter","Street Fighter style {value}, vibrant, dynamic, arcade, 2D fighting game, highly detailed, reminiscent of Street Fighter series","3D, realistic, modern, photorealistic, turn-based strategy",
"Style: game-zelda","Legend of Zelda style {value}, vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series","sci-fi, modern, realistic, horror",
">>>>>> MISC","","",
"Style: misc-3D-Caricature","disney 3d cartoon style, caricature, {value}, highly detailed, vfx","black and white",
"Style: misc-architectural","architectural style {value}, clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed","curved lines, ornate, baroque, abstract, grunge",
"Style: misc-character referencesheet","character reference sheet {value}, turnaround views, detailed anatomy, color palette, multiple poses, highly detailed","simplistic, minimalist, vague, incomplete",
"Style: misc-chibi","chibi style {value}, cute, adorable, bright colors, cheerful, highly detailed","dark, scary, realistic, monochrome, abstract",
"Style: misc-disco","disco-themed {value}, vibrant, groovy, retro 70s style, shiny disco balls, neon lights, dance floor, highly detailed","minimalist, rustic, monochrome, contemporary, simplistic",
"Style: misc-dreamscape","dreamscape {value}, surreal, ethereal, dreamy, mysterious, fantasy, highly detailed","realistic, concrete, ordinary, mundane",
"Style: misc-dystopian","dystopian style {value}, bleak, post-apocalyptic, somber, dramatic, highly detailed","ugly, deformed, noisy, blurry, low contrast, cheerful, optimistic, vibrant, colorful",
"Style: misc-fairy tale","fairy tale {value}, magical, fantastical, enchanting, storybook style, highly detailed","realistic, modern, ordinary, mundane",
"Style: misc-funkopop","funkopop style, {value}, bright colors, highly detailed","dark, scary, realistic, monochrome, abstract",
"Style: misc-gothic","gothic style {value}, dark, mysterious, haunting, dramatic, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, cheerful, optimistic",
"Style: misc-grunge","grunge style {value}, textured, distressed, vintage, edgy, punk rock vibe, dirty, noisy","smooth, clean, minimalist, sleek, modern, photorealistic",
"Style: misc-horror","horror-themed {value}, eerie, unsettling, dark, spooky, suspenseful, grim, highly detailed","cheerful, bright, vibrant, light-hearted, cute",
"Style: misc-kawaii","kawaii style {value}, cute, adorable, brightly colored, cheerful, anime influence, highly detailed","dark, scary, realistic, monochrome, abstract",
"Style: misc-lovecraftian","lovecraftian horror {value}, eldritch, cosmic horror, unknown, mysterious, surreal, highly detailed","light-hearted, mundane, familiar, simplistic, realistic",
"Style: misc-macabre","macabre style {value}, dark, gothic, grim, haunting, highly detailed","bright, cheerful, light-hearted, cartoonish, cute",
"Style: misc-magic the gathering","Magic the gathering style,  {value}, magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, card art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, deformed, glitch, noise, noisy, off-center, duplicate, mutated, black and white",
"Style: misc-manga","manga style {value}, vibrant, high-energy, detailed, iconic, Japanese comic style","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, Western comic style",
"Style: misc-metropolis","metropolis-themed {value}, urban, cityscape, skyscrapers, modern, futuristic, highly detailed","rural, natural, rustic, historical, simple",
"Style: misc-minimalist","minimalist style {value}, simple, clean, uncluttered, modern, elegant","ornate, complicated, highly detailed, cluttered, disordered, messy, noisy",
"Style: misc-monochrome","monochrome {value}, black and white, contrast, tone, texture, detailed","colorful, vibrant, noisy, blurry, deformed",
"Style: misc-nautical","nautical-themed {value}, sea, ocean, ships, maritime, beach, marine life, highly detailed","landlocked, desert, mountains, urban, rustic",
"Style: misc-scientific","scientific illustration, {value}, detailed, annotated, educational, informational","simplistic, cartoon, abstract",
"Style: misc-space","space-themed {value}, cosmic, celestial, stars, galaxies, nebulas, planets, science fiction, highly detailed","earthly, mundane, ground-based, realism",
"Style: misc-stained glass","stained glass style {value}, vibrant, beautiful, translucent, intricate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",
"Style: misc-techwear fashion","techwear fashion {value}, futuristic, cyberpunk, urban, tactical, sleek, dark, highly detailed","vintage, rural, colorful, low contrast, realism, sketch, watercolor",
"Style: misc-tribal","tribal style {value}, indigenous, ethnic, traditional patterns, bold, natural colors, highly detailed","modern, futuristic, minimalist, pastel",
"Style: misc-zentangle","zentangle {value}, intricate, abstract, monochrome, patterns, meditative, highly detailed","colorful, representative, simplistic, large fields of color",
">>>>>> PAPERCRAFT","","",
"Style: papercraft-collage","collage style {value}, mixed media, layered, textural, detailed, artistic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic",
"Style: papercraft-flat papercut","flat papercut style {value}, silhouette, clean cuts, paper, sharp edges, minimalist, color block","3D, high detail, noise, grainy, blurry, painting, drawing, photo, disfigured",
"Style: papercraft-kirigami","kirigami representation of {value}, 3D, paper folding, paper cutting, Japanese, intricate, symmetrical, precision, clean lines","painting, drawing, 2D, noisy, blurry, deformed",
"Style: papercraft-paper mache","paper mache representation of {value}, 3D, sculptural, textured, handmade, vibrant, fun","2D, flat, photo, sketch, digital art, deformed, noisy, blurry",
"Style: papercraft-paper quilling","paper quilling art of {value}, intricate, delicate, curling, rolling, shaping, coiling, loops, 3D, dimensional, ornamental","photo, painting, drawing, 2D, flat, deformed, noisy, blurry",
"Style: papercraft-papercut collage","papercut collage of {value}, mixed media, textured paper, overlapping, asymmetrical, abstract, vibrant","photo, 3D, realistic, drawing, painting, high detail, disfigured",
"Style: papercraft-papercut shadow box","3D papercut shadow box of {value}, layered, dimensional, depth, silhouette, shadow, papercut, handmade, high contrast","painting, drawing, photo, 2D, flat, high detail, blurry, noisy, disfigured",
"Style: papercraft-stacked papercut","stacked papercut art of {value}, 3D, layered, dimensional, depth, precision cut, stacked layers, papercut, high contrast","2D, flat, noisy, blurry, painting, drawing, photo, deformed",
"Style: papercraft-thick layered papercut","thick layered papercut art of {value}, deep 3D, volumetric, dimensional, depth, thick paper, high stack, heavy texture, tangible layers","2D, flat, thin paper, low stack, smooth texture, painting, drawing, photo, deformed",
">>>>>> PHOTO","","",
"Style: photo-alien","alien-themed {value}, extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed","earthly, mundane, common, realistic, simple",
"Style: photo-film noir","film noir style {value}, monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vibrant, colorful",
"Style: photo-hdr","HDR photo of {value}, High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed","flat, low contrast, oversaturated, underexposed, overexposed, blurred, noisy",
"Style: photo-long exposure","long exposure photo of {value}, Blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed","static, noisy, deformed, shaky, abrupt, flat, low contrast",
"Style: photo-neon noir","neon noir {value}, cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed","bright, sunny, daytime, low contrast, black and white, sketch, watercolor",
"Style: photo-silhouette","silhouette style {value}, high contrast, minimalistic, black and white, stark, dramatic","ugly, deformed, noisy, blurry, low contrast, color, realism, photorealistic",
"Style: photo-tilt-shift","tilt-shift photo of {value}, Selective focus, miniature effect, blurred background, highly detailed, vibrant, perspective control","blurry, noisy, deformed, flat, low contrast, unrealistic, oversaturated, underexposed",
"Style: photo-red-camera","cinematic scene from {value}, American Shot, captured by Red Camera with 85mm lens, film directed by Wes Anderson, melancholic, environmental lighting","",
">>>>>> LIGHTING","","",
"Lighting: All Lights","cinematic lighting, dramatic lighting, high contrast, low key lighting, high key lighting, chiaroscuro lighting, Rembrandt lighting, split lighting, rim lighting, back lighting, side lighting, top lighting, bottom lighting, natural light, artificial light","",
"Lighting: Artificial","artificial light","",
"Lighting: Back","back lighting","",
"Lighting: Bottom","bottom lighting","",
"Lighting: Chiaroscuro","chiaroscuro lighting","",
"Lighting: Cinematic","cinematic lighting","",
"Lighting: Dramatic","dramatic lighting","",
"Lighting: High key","high key lighting","",
"Lighting: Low key","low key lighting","",
"Lighting: Natural","natural light","",
"Lighting: Rembrandt","Rembrandt lighting","",
"Lighting: Rim","rim lighting","",
"Lighting: Side","side lighting","",
"Lighting: Split","split lighting","",
"Lighting: Top","top lighting","",